installation_id,accuracy_group
00abaee7,2
00abaee7,3
00abaee7,0
00abaee7,2
00abaee7,2
00abaee7,2
00abaee7,2
00abaee7,2
00abaee7,0
00abaee7,3
00abaee7,2
00abaee7,3
00abaee7,2
00abaee7,2
00abaee7,3
00abaee7,0
00abaee7,0
00abaee7,0
00abaee7,2
00abaee7,2
00abaee7,3
00abaee7,2
00abaee7,3
00abaee7,0
00abaee7,3
00abaee7,0
00abaee7,0
00abaee7,2
00abaee7,2
00abaee7,3
00abaee7,2
00abaee7,2
00abaee7,2
00abaee7,2
00abaee7,3
00abaee7,3
00abaee7,2
00abaee7,0
00abaee7,3
00abaee7,0
00abaee7,2
00abaee7,2
00abaee7,2
00abaee7,2
00abaee7,3
00abaee7,0
00abaee7,3
00abaee7,0
00abaee7,0
00abaee7,2
00abaee7,0
00abaee7,0
00abaee7,3
00abaee7,0
00abaee7,2
00abaee7,2
00abaee7,3
00abaee7,3
00abaee7,2
00abaee7,3
00abaee7,3
00abaee7,2
00abaee7,3
00abaee7,0
00abaee7,0
00abaee7,0
00abaee7,0
00abaee7,3
00abaee7,0
00abaee7,3
00abaee7,2
00abaee7,2
00abaee7,3
00abaee7,3
00abaee7,3
00abaee7,2
00abaee7,3
00abaee7,2
00abaee7,2
00abaee7,0
00abaee7,0
00abaee7,0
00abaee7,3
00abaee7,2
00abaee7,2
00abaee7,2
00abaee7,3
00abaee7,2
00abaee7,3
00abaee7,2
00abaee7,2
00abaee7,2
00abaee7,2
00abaee7,2
00abaee7,2
00abaee7,2
00abaee7,3
00abaee7,3
00abaee7,0
00abaee7,2
00abaee7,0
00abaee7,0
00abaee7,0
00abaee7,0
00abaee7,2
00abaee7,2
00abaee7,2
00abaee7,2
00abaee7,2
00abaee7,3
00abaee7,2
00abaee7,3
00abaee7,0
00abaee7,3
00abaee7,0
00abaee7,0
00abaee7,2
00abaee7,3
00abaee7,0
00abaee7,2
00abaee7,0
00abaee7,3
00abaee7,2
00abaee7,0
00abaee7,2
00abaee7,0
00abaee7,3
00abaee7,2
00abaee7,2
00abaee7,2
00abaee7,0
00abaee7,0
00abaee7,0
00abaee7,0
00abaee7,3
00abaee7,2
00abaee7,2
00abaee7,2
00abaee7,3
00abaee7,0
00abaee7,2
00abaee7,2
00abaee7,2
00abaee7,3
00abaee7,3
00abaee7,0
00abaee7,0
00abaee7,2
00abaee7,2
00abaee7,0
00abaee7,3
00abaee7,3
00abaee7,2
00abaee7,3
00abaee7,3
00abaee7,3
00abaee7,2
00abaee7,0
00abaee7,3
00abaee7,2
00abaee7,0
00abaee7,2
00abaee7,2
00abaee7,3
00abaee7,3
00abaee7,3
00abaee7,2
00abaee7,0
00abaee7,2
00abaee7,2
00abaee7,3
00abaee7,0
00abaee7,0
00abaee7,2
00abaee7,0
00abaee7,2
00abaee7,3
00abaee7,0
00abaee7,2
00abaee7,0
00abaee7,3
00abaee7,0
00abaee7,2
00abaee7,2
00abaee7,2
00abaee7,0
00abaee7,3
00abaee7,0
00abaee7,0
00abaee7,2
00abaee7,3
00abaee7,0
00abaee7,0
00abaee7,3
00abaee7,0
00abaee7,3
00abaee7,3
00abaee7,0
00abaee7,3
00abaee7,0
00abaee7,3
00abaee7,2
00abaee7,3
00abaee7,2
00abaee7,2
00abaee7,2
00abaee7,2
00abaee7,2
00abaee7,0
00abaee7,3
00abaee7,3
00abaee7,2
00abaee7,2
00abaee7,3
00abaee7,3
00abaee7,3
00abaee7,0
00abaee7,0
00abaee7,3
00abaee7,3
00abaee7,2
00abaee7,0
00abaee7,2
00abaee7,3
00abaee7,0
00abaee7,0
00abaee7,2
00abaee7,2
00abaee7,0
00abaee7,2
00abaee7,2
00abaee7,0
00abaee7,3
00abaee7,3
00abaee7,0
00abaee7,0
00abaee7,2
00abaee7,2
00abaee7,0
00abaee7,2
00abaee7,0
00abaee7,0
00abaee7,0
00abaee7,2
00abaee7,0
00abaee7,3
00abaee7,3
00abaee7,2
00abaee7,3
00abaee7,0
00abaee7,0
00abaee7,0
00abaee7,0
00abaee7,3
00abaee7,0
00abaee7,3
00abaee7,3
00abaee7,0
00abaee7,3
00abaee7,2
00abaee7,3
00abaee7,0
00abaee7,3
00abaee7,0
00abaee7,2
00abaee7,0
00abaee7,0
00abaee7,0
00abaee7,2
00abaee7,0
00abaee7,0
00abaee7,3
00abaee7,2
00abaee7,2
00abaee7,2
00abaee7,2
00abaee7,0
00abaee7,0
00abaee7,3
00abaee7,2
00abaee7,2
00abaee7,2
00abaee7,2
00abaee7,2
00abaee7,2
00abaee7,2
00abaee7,3
00abaee7,3
00abaee7,0
00abaee7,2
00abaee7,2
00abaee7,2
00abaee7,2
00abaee7,0
00abaee7,3
00abaee7,2
00abaee7,3
00abaee7,0
00abaee7,2
00abaee7,0
00abaee7,0
00abaee7,0
00abaee7,2
00abaee7,2
00abaee7,2
00abaee7,3
00abaee7,3
00abaee7,0
00abaee7,3
00abaee7,3
00abaee7,2
00abaee7,2
00abaee7,2
00abaee7,3
00abaee7,2
00abaee7,2
00abaee7,0
00abaee7,0
00abaee7,2
00abaee7,2
00abaee7,3
00abaee7,0
00abaee7,0
00abaee7,0
00abaee7,3
00abaee7,3
00abaee7,2
00abaee7,3
00abaee7,2
00abaee7,2
00abaee7,3
00abaee7,2
00abaee7,2
00abaee7,3
00abaee7,0
